📺央视频道,#genre#
车迷频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000221/1000.m3u8?
汽摩频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000018/1000.m3u8?
游戏风云,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000121/1000.m3u8?
魅力足球,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000126/1000.m3u8?
优漫卡通,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000078/1000.m3u8?
卡酷少儿,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000053/1000.m3u8?
金鹰卡通,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000089/1000.m3u8?
嘉佳卡通,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000065/1000.m3u8?
哈哈炫动,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000088/1000.m3u8?
动漫秀场,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000120/1000.m3u8?
优优宝贝,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000164/1000.m3u8?
东方财经,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000122/1000.m3u8?
财富天下,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000042/1000.m3u8?
家庭理财,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000166/1000.m3u8?
证券服务,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000041/1000.m3u8?
太原-伯乐购,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000186/1000.m3u8?
茶频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000043/1000.m3u8?
优购物,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000176/1000.m3u8?
